method,test_id,metric_name,value,timestamp
Full Context,auth-01,hallucination_rate,0.0,2026-01-22T12:50:07.786292
Full Context,auth-01,consistency_score,1.0,2026-01-22T12:50:07.786292
Full Context,auth-01,authority_preservation,1.0,2026-01-22T12:50:07.786292
Full Context,auth-01,scope_adherence,1.0,2026-01-22T12:50:07.786292
Full Context,auth-01,versioning_correctness,0.0,2026-01-22T12:50:07.786292
Full Context,auth-01,dependency_tracking,0.0,2026-01-22T12:50:07.786292
Single RAG,auth-01,hallucination_rate,0.0,2026-01-22T12:50:21.411929
Single RAG,auth-01,consistency_score,0.9968152866242038,2026-01-22T12:50:21.411929
Single RAG,auth-01,authority_preservation,1.0,2026-01-22T12:50:21.411929
Single RAG,auth-01,scope_adherence,1.0,2026-01-22T12:50:21.411929
Single RAG,auth-01,versioning_correctness,0.0,2026-01-22T12:50:21.411929
Single RAG,auth-01,dependency_tracking,0.0,2026-01-22T12:50:21.411929
Dual RAG,auth-01,hallucination_rate,0.0,2026-01-22T12:50:34.298114
Dual RAG,auth-01,consistency_score,1.0,2026-01-22T12:50:34.298114
Dual RAG,auth-01,authority_preservation,1.0,2026-01-22T12:50:34.298114
Dual RAG,auth-01,scope_adherence,1.0,2026-01-22T12:50:34.298114
Dual RAG,auth-01,versioning_correctness,1.0,2026-01-22T12:50:34.298114
Dual RAG,auth-01,dependency_tracking,0.0,2026-01-22T12:50:34.298114
Full Context,auth-02,hallucination_rate,0.0,2026-01-22T12:50:39.371030
Full Context,auth-02,consistency_score,0.5123655913978494,2026-01-22T12:50:39.371030
Full Context,auth-02,authority_preservation,1.0,2026-01-22T12:50:39.371030
Full Context,auth-02,scope_adherence,1.0,2026-01-22T12:50:39.371030
Full Context,auth-02,versioning_correctness,0.0,2026-01-22T12:50:39.371030
Full Context,auth-02,dependency_tracking,1.0,2026-01-22T12:50:39.371030
Single RAG,auth-02,hallucination_rate,0.0,2026-01-22T12:50:53.010867
Single RAG,auth-02,consistency_score,1.0,2026-01-22T12:50:53.010867
Single RAG,auth-02,authority_preservation,1.0,2026-01-22T12:50:53.010867
Single RAG,auth-02,scope_adherence,1.0,2026-01-22T12:50:53.010867
Single RAG,auth-02,versioning_correctness,0.0,2026-01-22T12:50:53.010867
Single RAG,auth-02,dependency_tracking,0.0,2026-01-22T12:50:53.010867
Dual RAG,auth-02,hallucination_rate,0.0,2026-01-22T12:51:02.998604
Dual RAG,auth-02,consistency_score,0.0,2026-01-22T12:51:02.998604
Dual RAG,auth-02,authority_preservation,1.0,2026-01-22T12:51:02.998604
Dual RAG,auth-02,scope_adherence,1.0,2026-01-22T12:51:02.998604
Dual RAG,auth-02,versioning_correctness,1.0,2026-01-22T12:51:02.998604
Dual RAG,auth-02,dependency_tracking,0.0,2026-01-22T12:51:02.998604
Full Context,auth-03,hallucination_rate,0.0,2026-01-22T12:51:25.041897
Full Context,auth-03,consistency_score,0.5310734463276836,2026-01-22T12:51:25.041897
Full Context,auth-03,authority_preservation,1.0,2026-01-22T12:51:25.041897
Full Context,auth-03,scope_adherence,1.0,2026-01-22T12:51:25.041897
Full Context,auth-03,versioning_correctness,0.0,2026-01-22T12:51:25.041897
Full Context,auth-03,dependency_tracking,0.0,2026-01-22T12:51:25.041897
Single RAG,auth-03,hallucination_rate,0.0,2026-01-22T12:51:57.665103
Single RAG,auth-03,consistency_score,0.5104529616724739,2026-01-22T12:51:57.665103
Single RAG,auth-03,authority_preservation,1.0,2026-01-22T12:51:57.665103
Single RAG,auth-03,scope_adherence,1.0,2026-01-22T12:51:57.665103
Single RAG,auth-03,versioning_correctness,0.0,2026-01-22T12:51:57.665103
Single RAG,auth-03,dependency_tracking,0.0,2026-01-22T12:51:57.665103
Dual RAG,auth-03,hallucination_rate,0.0,2026-01-22T12:52:16.632241
Dual RAG,auth-03,consistency_score,0.5017265193370166,2026-01-22T12:52:16.632241
Dual RAG,auth-03,authority_preservation,1.0,2026-01-22T12:52:16.632241
Dual RAG,auth-03,scope_adherence,1.0,2026-01-22T12:52:16.632241
Dual RAG,auth-03,versioning_correctness,1.0,2026-01-22T12:52:16.632241
Dual RAG,auth-03,dependency_tracking,1.0,2026-01-22T12:52:16.632241
